foa-0001	permission final episode
iir_2_4	phrase queries complex technical concepts organization product names compounds phrases like pose query stanford_university phrase sentence document like university match search_engines support syntax stanford_university for phrase queries proven users web_queries phrase queries implicit phrase queries person_names use support queries for lists lists documents individual terms section approaches phrase queries combination search_engine support phrase queries concept term_proximity weighting document query terms text technique page context ranked_retrieval indexes indexes index_size schemes
iir_2_4_1	indexes approach phrases terms document phrase example text friends stanford_university university queries nouns noun_phrases status concepts people searching for nouns can function_words phrases needs can indexing_model following way text can group terms nouns nouns function_words prepositions classes string terms form term vocabulary example algorithm work optimal parsing queries boolean_queries algorithm query cost overruns power plant cost overruns overruns power power plant concept index can sequences words index variable_length word_sequences phrase_index for term index need scan dictionary for term need index terms chance false_positive chance false_positive match phrases length small hand phrases potential vocabulary_size phrase indexes for phrases length use dictionary size vocabulary section utility strategy partial phrase_index indexing_scheme
iir_2_4_2	indexes reasons index standard solution positional index for term vocabulary store form position token index document posting will record term_frequency for reasons process phrase_query need access inverted_index for term least term work restrict list merge_operation same general technique checking terms document need appearance document phrase_query offsets words example phrase lists for query lists access will lists for first for documents terms for places lists occurrence token index position for occurrence word token index first occurrence lists pattern match example same general method for word proximity sort saw employment place index_size
iir_2_4_3	schemes strategies indexes positional indexes can users query phrases merging positional lists combination strategy phrase_index index for queries positional index for phrase queries queries phrase_index querying behavior criterion phrase queries evaluate individual words phrase phrase_index entry speedup factor query documents word results phrase_index entry speed query factor query evaluate scheme indexes partial next word index house first strategies term next word index records terms document strategy typical web phrase queries time use positional index space use positional index index example document will for query false_positive positional index format term fear rush document match following queries expression phrase_query rush rush fear following fragment positional index format word document position position document position operator words positive integer argument set documents query set values for for query set documents answer general procedure for merging positional lists for document document document general can term single_document pointer position occurrence term move pointer list document checking hit for move pointer step number terms document complexity merge procedure result adaptation basic algorithm for intersection lists page handles proximity_queries naive algorithm for sum lists sum document frequencies maximum length document tokens algorithm explain complexity algorithm answer queries data distributions algorithm efficient complexity use intersection procedure list documents list page simplicity number terms document_collection sum collection frequencies following true answer merge can number linear independent can pointer merge can number linear independent pointer move merge can ir_system use positional index use words potential problem
iir_2_5	reading discussion processing can bigram indexes standard approach indexing systems use word_segmentation differences language writing_system word_segmentation for structure character gram index text page gram dictionary points lists dictionary points document lists discussion chinese_word_segmentation see present method for natural_language_processing work computational_morphology language_identification first cryptography for example gram language_identification_algorithm methods looking for function_words digital text people character gram technique language identification problem spoken_language_identification difficult see for survey discussion positive negative impact stemming can following results for effectiveness methods languages terms change mean_average_precision see page baseline system gains helpful for for improvement improvement for languages gain stemming range results lemmatizer compound_splitting for for for methods indexing character for results character words gains positive for languages results time study commercial web_search_engines processing for example query for article pages string article noun presentation for can techniques paper algorithms literature multilevel pointers list access same efficiency tree_data structure complexity practice effectiveness pointers system_parameters report conjunctive_queries running times faster use pointers report skip_lists down search size list disk_i/o performance contrast performance gains skipping system_architecture optimize for large memory spaces cores report queries web_query logs phrase queries report phrase queries for data_set queries explicit phrase operators implicit phrase
iir_3	retrieval ideas inverted_indexes for proximity_queries techniques robust typographical_errors query alternative data_structures help search for terms vocabulary inverted_index study idea wildcard query query documents term sequence symbol string characters pose queries search_engine uncertain query_term documents variants query_term for instance query documents terms automatic automation automated forms queries focusing spelling errors make spelling errors accident term searching for spelling collection detail number techniques for spelling errors queries term time for string query terms study method for vocabulary terms query_term can like example user proper_name documents collection will variants inverted_indexes will use phrase standard inverted_index mean inverted_index vocabulary term list documents collection structures for dictionaries queries wildcard queries indexes indexes for wildcard queries spelling_correction spelling_correction spelling_correction edit_distance indexes for spelling_correction context_sensitive spelling_correction correction reading
iir_3_1	structures for dictionaries inverted_index query first task query_term vocabulary pointer vocabulary lookup data_structure dictionary classes solutions hashing search_trees literature data_structures vocabulary case terms keys choice solution hashing search_trees number questions keys number static change case changes keys keys dictionary relative frequencies keys will for dictionary_lookup search_engines vocabulary term key integer large space hash collisions collisions structures can demand care maintain query time hash query_term following pointer account logic for hash collisions way find minor variants query_term versions word like resume integers can for instance terms will the_web size vocabulary hash_function for needs time binary_search example branch root partitions vocabulary terms subtrees first rest search_trees issues for instance vocabulary terms search_tree binary tree internal node children search for term root tree internal node root binary test outcome search node example binary_search_tree for dictionary search number comparisons tree terms node issue terms binary search_tree needs balance property mitigate approach number internal node interval search_tree for dictionary search_tree internal node number children interval positive integers example branch internal node test for range character sequences binary_tree example collapsing levels binary tree dictionary case collapsing function pre-fetching binary tests integers disk pointers background search_trees example internal node children hashing search_trees demand characters document_collection ordering for instance alphabet order asian_languages unique ordering now languages standard ordering system for character_sets
iir_3_2	queries queries following situations user uncertain spelling query_term wildcard query user variants spelling term documents variants color colour user documents variants term stemming search_engine stemming wildcard query user uncertain rendition foreign_word phrase query query trailing wildcard query symbol search string search_tree dictionary way trailing wildcard queries walk down tree following symbols point can set terms dictionary use standard inverted_index documents term wildcard queries symbol search string general case generalization trailing wildcard queries wildcard queries queries form dictionary path term dictionary term path walk down terms vocabulary fact can handle general case wildcard queries symbol use set dictionary terms set terms suffix intersection sets set terms suffix use standard inverted_index documents terms intersection can handle wildcard queries symbol normal wildcard queries indexes indexes for wildcard queries
iir_3_2_2	indexes for wildcard queries index simple can number rotations per term for dictionary terms can space increase now present technique gram index for processing wildcard queries will use gram indexes gram sequence characters cas ast stl term castle use character term set for castle cas ast stl gram index dictionary term vocabulary list points gram vocabulary terms gram instance point vocabulary terms metric retrieval example index help wildcard queries wildcard query documents term boolean_query index list matching terms matching terms standard inverted_index yield documents matching query difficulty use gram indexes step processing index for query red process first issue boolean_query red index match terms conjunction red match wildcard query red cope post-filtering step terms boolean_query index query red simple string-matching terms match query standard inverted_index wildcard query can result terms query standard inverted_index search_engines combination wildcard queries boolean_operators for example semantics for query wildcard query disjunction queries interpretation example conjunction disjunctions documents term matching term matching wildcard queries processing wildcard query can lookup index filtering standard inverted_index search_engine support rich functionality capability an_interface interface users use functionality search_interface users typing query processing_load search_engine index vocabulary term points vocabulary term vocabulary terms can list vocabulary term down index dictionary term search for wildcard index key lookup vocabulary terms ordering query boolean_query bigram index for query think term query boolean_query example sentence wildcard query search use conjunction bigrams
iir_3_3	spelling_correction next problem spelling errors queries instance documents term user_types query reports following query solving problem first edit_distance gram overlap methods first review search_engines user_experience spelling_correction spelling_correction edit_distance indexes for spelling_correction context_sensitive
iir_3_3_1	spelling_correction alternative for query proximity queries will proximity measures queries select instance seem corrections for algorithm correction number term collection correction search_engines web idea use correction queries users idea query user type query proximity queries efficient_computation spelling_correction algorithms build proximity functionality users query documents version query_term dictionary query preset number documents documents query preset number documents search_interface spelling_suggestion end_user suggestion query_term search_engine user mean
iir_3_3_2	spelling_correction context-sensitive techniques for addressing correction edit_distance gram overlap context-sensitive correction
iir_3_3_3	edit_distance edit_distance edit operations levenshtein_distance compute weighted edit_distance strings time length string idea use dynamic_programming_algorithm characters array form algorithm integer matrix dimensions strings edit distances entry the_matrix will algorithm edit_distance strings first characters first characters central dynamic_programming step minimum character character character dynamic_programming_algorithm for computing edit_distance strings example levenshtein_distance computation typical cell cell lower entry cell dynamic_programming step cells path levenshtein_distance spelling_correction problem computing edit_distance set strings terms vocabulary query string string least edit_distance view decoding_problem strings way compute edit_distance string selecting string minimum edit_distance exhaustive_search number heuristics practice vocabulary terms edit_distance query_term heuristic restrict search dictionary terms same query string hope spelling errors first character query variant heuristic use version index symbol set rotations query string rotation set index retrieving dictionary terms rotation instance rotation dictionary terms semantic semaphore small edit_distance dictionary terms address refine rotation scheme for rotation suffix characters traversal term set terms dictionary substring value length set
iir_3_3_4	indexes for spelling_correction set vocabulary terms for compute edit distances query_term now gram index page retrieving vocabulary terms edit_distance query terms can find least edit_distance fact will use gram index vocabulary terms query will for definitions retrieval_process scan for query string least query bigram index for bigrams query vocabulary terms least bigrams scan let terms example border application linear_scan intersection vocabulary terms number query terms like correction measures overlap vocabulary term linear_scan intersection can measure overlap jaccard_coefficient for measuring overlap sets sets set query set vocabulary term scan vocabulary term next computing on_the_fly jaccard_coefficient coefficient preset threshold add output move next term compute jaccard_coefficient need set scanning for hand principle on_the_fly practice slow likelihood string encoding observation compute jaccard_coefficient need length string see recall example point scan for query term bigrams match number bigrams information compute jaccard_coefficient number hits sum number bigrams number hits jaccard_coefficient measures efficient on_the_fly computation scans use for spelling_correction method empirical support first use gram index set candidate vocabulary terms potential corrections compute edit_distance term set selecting terms set small edit_distance
iir_3_3_5	context_sensitive spelling_correction enumeration can find corrections individual terms encounter large number alternatives heuristics space example alternatives for form collection query_logs queries users instance alternative extend query form example extend list top corrections alternative statistics collection use logs queries users course queries spelling errors length string edit_distance edit_distance alice down array distances algorithm pseudocode computing on_the_fly jaccard_coefficient scanning gram index page coefficients query terms bigram query query terms alternative terms correction phrases space phrases variants for terms query number substitute term its alternatives top substitute its number collection rest consideration for extension queries collection extension correction substitute phase substitute will substitute
iir_3_4	correction for hashing soundex algorithms soundex_algorithm variants following scheme term form inverted_index forms terms call soundex index same query terms query for soundex match search soundex index first term following zero zeros string string trailing zeros first will example soundex map maps query compute its soundex code vocabulary terms matching soundex code soundex index running query standard inverted_index algorithm observations names sounds equivalence_classes names same soundex codes rules work for languages rules writing_system dependent example names can transcription soundex for differences transcriptions for instance_mapping for example nouns soundex codes same nouns soundex codes
iir_3_5	reading for information search_trees use searching dictionaries first index approach addressing space indexes formal spelling_correction edit_distance algorithm variants methods edit distances empirical_study methods gram indexing effective for candidate fine-grained technique edit_distance standard reference string_algorithms edit_distance probabilistic_models noisy_channel models for spelling_correction 2000 models query probabilistic corruption query basis language_model methods phonetic_similarity closeness keyboard data spelling users approach work can learning spelling_correction models query_reformulations search_engine_logs soundex_algorithm patents version evaluate phonetic_matching algorithms variant soundex_algorithm for general spelling_correction algorithms phonetic_similarity term
iir_4	index_construction construct inverted_index call process index_construction indexing process machine indexer design indexing algorithms hardware constraints review computer_hardware relevant for indexing indexing efficient algorithm for static collections can scalable version basic indexing_algorithm in-memory indexing algorithm scaling properties vocabulary memory very_large collections like the_web indexing distributed computer_clusters changes dynamic_indexing changes collection index cover issues can indexing security indexes for ranked_retrieval index_construction topics indexer needs raw text documents see compress intermediate files final index see web_search documents local file_system see enterprise_search documents content_management_systems email applications databases examples applications can via http native application_programming_interfaces efficient reader building feeds raw text indexing process can problem indexing in-memory indexing distributed_indexing dynamic_indexing types indexes reading
iir_4_1	system_parameters seek_time time position disk head position transfer time per transfer disk memory head position average seek_time transfer time per processor clock swap word size main_memory size disk space building information_retrieval system decisions characteristics computer_hardware system review computer_hardware characteristics typical systems list hardware need book ir_system design data memory faster access data disk clock_cycles access memory transfer disk data memory data need access call technique keeping disk data main_memory caching disk read write for disk head move disk data located time seek_time for typical disks data data_transfer chunks data will read disk example little transfer disk memory chunk chunks need move disk head times operating_systems read write reading disk can time reading block call main_memory block read buffer data_transfers disk memory system_bus processor processor process_data disk_i/o can exploit fact speed data_transfers data disk efficient decompression algorithm time reading data reading data systems main_memory disk space
iir_4_2	indexing basic index page first make collection assembling sort term key key organize for term list compute statistics like term document_frequency small collections can memory methods for large_collections use secondary_storage make index_construction efficient terms strings unique serial number can build mapping terms on_the_fly processing collection two-pass approach vocabulary first construct inverted_index index_construction algorithms data references algorithms applications for example disk space work collection model collection collection text documents period typical document multimedia_information like images book text covers wide range international topics politics business sports example science key statistics collection tokens collection bytes for storage collections can see collections large computers sort memory size intermediate files index_construction small factor memory compression techniques can help file large_collections can fit memory compression statistics for for book values documents tokens per document terms bytes per token spaces punctuation bytes per token spaces punctuation bytes per term tokens table line case folding documents tokens per document terms bytes per token bytes per token bytes per term tokens main_memory need use external_sorting algorithm disk speed central requirement algorithm number random disk sorting sequential disk reads far faster solution indexing_algorithm segments collection size memory stores intermediate results disk intermediate results final index algorithm documents memory block size block_size fit memory fast in-memory sort block disk sort collect same list posting result inverted_index for block read disk can fit memory inverted_index collection lists disk memory memory lists disk terms for readability final step algorithm large index example use document collection merging open block files maintain small read buffers for reading write_buffer for final index writing iteration select priority_queue data_structure lists for read list disk read buffer its file time_complexity step time_complexity sorting upper_bound for number sort number indexing time time parse documents final merge compute index_construction time for writing disk large age memory standard personal_computers compression inverted_index for memory server techniques for collections need comparisons number disk for comparison time index_construction for disk memory for storage sorting algorithm external_sorting algorithm system_parameters dictionary indexing on_the_fly data
iir_4_3	in-memory indexing in-memory indexing block in-memory indexing algorithm algorithm documents stream call tokens token stream collection line call term for first time dictionary hash list line call line list for term difference posting its list line first collecting sorting list dynamic its size collect advantages faster sorting memory track term list need result individual can process index_construction process efficient large list term will first encounter space for list space time lines memory memory intermediate_data_structures memory_requirements for index block lower memory write index block dictionary lists disk line sort terms line write lists lexicographic_order final merging step block lists order merging simple linear_scan block call block disk step line merge final inverted_index dictionary structure for block sorting step component compression dictionary terms can disk compression efficiency algorithm can process individual space disk readers literature for aspect algorithm time_complexity sorting tokens operations linear size collection
iir_4_4	distributed_indexing clusters distributed_indexing distributed_index index large search_engines index can index topic page distributed_index construction method section application general architecture for distributed_computing for large computer_clusters point cluster large computing_problems nodes standard processor memory disk supercomputer specialized_hardware clusters individual can time requirement for robust distributed indexing work chunks can case failure master node process tasks individual nodes map reduce phases split computing chunks standard can process time example collection documents input data case collection web_pages split size split work can distributed chunks large number chunks need manage large distributed_indexing master node basis machine finishes processing split next machine hardware problems split machine example distributed_indexing general breaks large computing problem terms manipulation indexing form distributed_indexing mapping terms distributed complex indexing simple solution maintain mapping for terms nodes use terms for terms address problem nodes share consistent term mapping map phase mapping input data same parsing_task call map phase parsers parser its output local intermediate files segment files reduce phase values for key can read partitioning keys term partitions parsers write for term partition segment file term partitions first key for exposition general key need terms term partitions indexing system parsers write segment files for term partition term partition segments files number parsers instance segment files partition parsers figure values for key list task inverters reduce phase master term partition inverter case parsers term partitions case slow inverters term partition segment files parser inverter segment files size single_machine can handle list values for key final list figure term frequencies posting term_frequency information data_flow for construction inverted_index inverters sets master tasks same machine can parser map phase inverter reduce phase jobs parallel index_construction parser inverter machine crawling task write times inverters reduce data parser its segment files its local disk reduce phase master inverter locations relevant segment files segment files partition segment file sequential read data relevant inverter segment file parser setup network_traffic indexing reduce functions general map_function list values for key list reduce phase list instantiations functions example for index_construction map phase processes documents distributed fashion need example example terms for readability general schema functions input_and_output lists jobs can sequence fact design indexing system section operations indexing system operation_transforms index robust simple framework for index_construction distributed_environment method for splitting index_construction tasks can scale large_collections computer_clusters size segments term partitions distributed_index creation for architecture assumptions cluster
iir_4_5	dynamic_indexing far document collection static for collections change collections documents terms need dictionary lists need for terms way index scratch solution number changes time small delay making documents searchable resources construct index for querying requirement documents solution maintain indexes large index small index stores documents index memory indexes results invalidation vector can filter documents search result time index large merge index cost merging store index file_system store list file merge list index list index scheme for keeping index reduce number disk time document disk average size vocabulary documents collection index load disk merge indexes scheme file_systems can handle very_large files alternative store index large file concatenation lists reality compromise discussion simple option index large file scheme process posting times touch size index number time_complexity representation terms purpose time_complexity list list merging token in-memory index can indexes size sequence indexes scheme logarithmic merging in-memory index call index disk next time index size service search querying in-memory indexes disk merging results familiar binomial heap_data structure will its similarity structure inverted_indexes logarithmic merging index_construction time posting levels trade efficiency gain for slow down query_processing now need merge results indexes indexes index scheme need merge very_large indexes down search_system merge indexes merge average multiple_indexes maintenance statistics example affects spelling_correction algorithm page alternative hits multiple_indexes invalidation vector number hits for term simple lookup fact aspects ir_system index_maintenance query_processing distribution complex logarithmic merging complexity dynamic_indexing large search_engines adopt strategy construct indexes index scratch query_processing index index simulation algorithm table for point time tokens indexes use first lines table
iir_4_6	types indexes indexes far lists respect see for compression can compress gaps space requirements for index structure for index optimal build retrieval_systems ranked_retrieval weight impact first organization scanning lists query_processing can weights small documents can similarity query see index documents lists index insertion can update inverted_index consideration for retrieval_systems low-level employee find roster corporation managers need search for results lists documents opening existence document can sensitive_information matrix for access_control_lists user access document query_processing user access list results list text index authorization mediated access_control_lists can information_retrieval_system representing document set users can access matrix index for user list documents can access user access list search_results list index difficult maintain access_permissions change difficulties context incremental_indexing for lists processing lists for users access large document subsets membership retrieving access information file_system query time down retrieval indexes for retrieving terms documents spelling_correction compromise security case spelling_correction documents user access index_construction time indexing down time table for system parameters index for indexing step_time reading collection line records line writing line disk transfer time for merging line time merging line statistics for large_collection documents tokens per document terms for collection block_size realistic for technology block fit main_memory need collection size index can simple in-memory indexing_algorithm page collection memory disk time requirements simple algorithm indexing disk space list term size algorithm can construct index can handle case optimal_load_balancing inverters files collection distribution problem problem counting term set files map reduce operations for task down example lines page index can quality collection statistics example term_weighting method idf number documents number documents term idf small index can cause error idf index term
iir_4_7	reading present treatment index_construction indexing algorithms tradeoffs memory disk space time general indexing memory disk space criterion algorithms choice merge algorithms dictionary structure use compression construct index in_situ disk space usage for final index minimum files credit for first sorting for index_construction method aspects algorithm compression fact term data_structure list its document_frequency house keeping_information index_construction algorithms scaling properties respect vocabulary_size data architecture open_source implementation approaches distributed_indexing distributed_ir 2000 analyze properties logarithmic merging construction methods first method dynamic_indexing methods paper strategy index scratch for vocabulary memory security_models for inverted_index for multiple_users characterization collection can collection see review computer_hardware relevant system_design depth effective indexer for enterprise_search needs communicate number applications text_data microsoft_outlook software databases like content_management_systems like enterprise_resource_planning software like
iir_5	index_compression dictionary inverted_index central data_structures information_retrieval number compression techniques for dictionary inverted_index for efficient systems benefit compression need disk space will see compression cutting cost index subtle benefits compression first use caching systems use dictionary index example cache list query_term for query can memory compression can fit information main_memory disk_seek processing query access its list memory will see simple efficient decompression methods penalty list small result response_time ir_system memory resource disk space speed caching space requirements for compression subtle compression faster transfer data disk memory decompression algorithms fast hardware time chunk data disk same chunk data form instance can reduce input/output time list add_on cost decompression retrieval_system faster lists lists goal compression disk space speed compression_algorithms concern for cache utilization faster transfer decompression compression_algorithms efficient can purposes index_compression posting list example list list term page search systems frequency position information will simple for references frequencies first statistical characterization distribution entities compress terms large_collections compression dictionary method storage techniques for file variable encoding encoding terms information_retrieval law number terms law distribution terms dictionary_compression string storage file_compression codes codes reading
iir_5_1	terms information_retrieval use model collection see page term statistics for collection reduction size line cumulative reduction table number terms for levels preprocessing number terms factor size dictionary number indicator size index collection size positional index number encode general statistics preprocessing affects size dictionary number case folding reduce number terms number treatment words rule states words account for tokens text table words indexing words page list words number size reduction size index will see lists words per posting compression effect preprocessing number terms tokens for reduction size line words words use case folding reference line cumulative reduction stemming porter_stemmer page tokens number position terms number number number case folding words words stemming table range typical large_collections reductions can for text_collections example for collection web_pages text lemmatizer for vocabulary_size porter_stemmer for collection language compression techniques lossless information compression can lossy_compression information folding stemming stop_word_elimination forms lossy_compression vector_space_model dimensionality_reduction techniques like latent_semantic_indexing compact representations can collection lossy_compression sense information search_system example web_search large number documents queries users first pages results can documents for hits far down list retrieval scenarios methods can for compression reduction effectiveness techniques for dictionary estimate number terms collection languages vocabulary size english_dictionary words vocabulary large_collections names people locations products scientific entities like genes names need inverted_index users can search for law number terms law distribution terms
iir_5_1_1	law number terms size function collection_size number tokens for data line least-squares fit way handle law estimates vocabulary_size function collection_size parameter variable vocabulary_growth nature collection stemming reduce growth vocabulary spelling errors increase values parameters for collection law dictionary size increase documents collection maximum vocabulary_size size dictionary large for large_collections hypotheses true large text collections dictionary_compression for effective information_retrieval_system
iir_5_1_2	law distribution terms model distribution terms collection law states term collection next collection frequency term proportional can write law power_law page for power_law law distribution links web_pages law for function frequency rank for terms collection line distribution law weighted least-squares fit graph plots collection frequency term function its rank for line function fit data law model for term distributions calculations machine word per posting size index for
iir_5_2	dictionary_compression section series dictionary_data structures compression dictionary small file why compress for small space requirements ir_system factors response_time ir_system number disk process query dictionary disk disk query_evaluation goal dictionary fit main_memory least large support query throughput dictionaries very_large collections fit memory standard desktop machine true application_scenarios example enterprise_search server for large corporation index collection large vocabulary presence documents languages design search systems for hardware mobile_phones onboard computers reasons for memory fast startup_time share resources applications search_system word_processing same time dictionary array string storage
iir_5_2_1	string need for dictionary scheme mark term next example first terms example for terms average length term characters average characters bytes scheme way terms characters like can dictionary terms string characters pointer next term term terms data_structure way binary_search now table scheme storage bytes average bytes bytes average bytes for terms now need store term pointers term pointers resolve need bytes scheme need for dictionary bytes for frequency pointer bytes for term pointer bytes average for term space requirements storage terms per first block syzygy characters term encoding its length bytes reach terms
iir_5_2_2	storage dictionary dictionary blocking block_size compression tradeoff compression speed term_lookup dictionary binary_search lines list search simple lines search for terms dictionary binary_search dictionary first term block binary_search its position list linear_search block dictionary average term come query example terms box size need average example binary_search step block can size dictionary minimum term_lookup slow for large values redundancy dictionary fact list share observation front_coding for term_list character case front_coding experiment schemes compression minimal_perfect_hashing hash_function maps terms collisions can adapt perfect term collision creation perfect_hash_function can dynamic_environment compression scheme store dictionary main_memory for very_large text_collections for hardware limited_memory partition dictionary pages disk can index first term page processing queries search_system disk fetch for retrieving term dictionary page disk increase time process query dictionary_compression for data_structure size dictionary dictionary term pointers string blocking blocking front_coding space usage dictionary size dictionary storage time for term_lookup dictionary block slowdown
iir_5_3	file_compression gaps document example store gaps for computer first for encoding list gaps computer gaps gaps page documents tokens per document characters per token posting list frequency position information line case folding identifiers size collection size file efficient representation file per document for terms documents collection looking for term like computer will find document computer documents document term see key idea gaps space store fact gaps for terms for gaps for term collection same order need economical representation distribution gaps need variable encoding_method for gaps encode small space large types methods compression compression names methods encode gaps minimum number bytes codes codes
iir_5_3_1	codes encoding integral number bytes first continuation code gaps code encoding integral number bytes encode gap payload encode gap first continuation set for gap decode variable byte_code read sequence bytes continuation continuation extract pseudocode for encoding decoding example list compression size index for experiment reduction size index see idea encoding can units bytes words words words words bit_manipulation cost effective compression bytes compression cost bit_manipulation general bytes compromise compression_ratio speed decompression systems variable codes tradeoff time space simple alternatives complex disk space resource can compression encodings encodings codes will next codes
iir_5_3_2	codes examples codes codes for codes for readability codes number code length offset code codes use adaptive number bytes size gap codes adapt length code code code code string see first columns efficient code will come moment efficient can code principle gaps optimal encoding for gaps case can goal lower_bound method factor optimal encoding codes variable-length encoding splitting representation gap length offset binary example for binary offset length offset code length offset code concatenation length offset hand examples codes code first reading code for example decoding offset offset can read encoding length offset length length length code codes length factor optimal encoding length optimum assumption gaps need case general probability distribution gaps priori function for sample space outcomes entropy can lower_bound for length code conditions see references can for encoding factor optimal encoding for large universal universality codes properties for index_compression free code unique decoding sequence codes need delimiters efficiency code property codes parameter free efficient codes fit parameters model binomial_distribution distribution gaps index implementation compression decompression instance parameters need dynamic_indexing distribution gaps can change parameters problems code compression inverted_index codes answer question use law term_distribution model law collection frequency proportional inverse rank harmonic number terms for estimating size inverted_index gaps size codes number for list term block figure compression size index lower size collection for discrepancy value law approximation distribution term frequencies for gaps model index_size for term frequencies model index for artificial terms size assumptions distribution term frequencies accurate predictions model dictionary_compression for compression_ratio text collection large xml_markup compression_schemes encoding blocking front_coding index collection_size small for data_structure size dictionary dictionary term pointers string blocking blocking front_coding collection text xml_markup collection text term matrix words variable compression techniques term matrix page for size collection for encoding per character codes compression variable codes for decode operations masks decode sequence codes boundaries codes will machine word result query_processing for codes for variable codes variable encoding characteristics application for example relative weights disk space query response_time compression_ratio for index posting word codes objectives index_compression time space efficiency indexes disk space information can cache speeding data_transfers disk memory variable codes for variable codes for list gaps binary codes list list gaps length list system list variable encoding gap can encode gap can encode bytes bytes will list encoding space for encoding sequence little notice gap can length stuff encode can observations modification variable encoding encode gaps same space gap can encode gap can encode bytes bytes will list encoding space for encoding sequence following sequence gaps first gap sequence sequence codes for large encode length offset code codes codes encode first code length code code encoding offset same example code add for readability code for length case encoding offset codes for range code code code variable byte_code index words small gaps variable byte_code compact gaps compression code variable byte_code for distribution gaps large gaps index_size state approximations collection number documents terms average length document large inverted_index indexer inverted_index for collection large index indexer variable encoding large variable index gap sequences indexing gap sequence gap sequence main_memory idea compress intermediate index_files index_construction merging indexing example work sequence gaps index_construction space_efficient compression faster size vocabulary finite law law derive law law
iir_5_4	reading law study vocabulary_growth large_collections law quality fit law term_distribution models model lossy_compression can compression retrieval_effectiveness dictionary_compression detail reading authors find variable codes process queries times faster indexes indexes penalty compression_ratio compression_method indexes can indexes disk usage query_processing speed codes variable codes compression effectiveness experiment codes disk space work binary codes faster decompression least efficient codes effectiveness caching number compression techniques for lists hardware codes codes codes universal codes optimal for codes codes large introduction information_theory concept entropy codes optimal arithmetic codes can optimum for index_compression techniques parameterized codes for index_compression codes model probability distribution gaps for term example golomb_codes compression codes for large_collections parameterized methods distribution gaps list assignment documents number researchers way efficient compression gap sequences techniques small range documents cluster cluster can documents time period web_site sharing property result sequence documents cluster list gaps small can apply compression term frequencies word compression lists general tutorial inverted_indexes index_compression index_compression for boolean_retrieval ranked_retrieval order term_frequency query_processing scanning lists can weights change ranking documents far idea store weights index frequencies can integers see compression can efficient information_retrieval_system 2000 compression_schemes direct searching terms phrases text standard text_compression utilities like gzip compress codes sequences roles equivalent code code construction code can down binary alternative code method alternative code sense same length can code universal code sense distribution gaps for code optimal distribution examples terms assumption gaps same size estimating space requirements index general characteristics terms term list size size list distribution term gaps same size its size distribution list sum number vocabulary
